"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"정선군","귀농가구원수 (명)",96,15,8,42,28,X,103,14,9,44,28,8,108,18,13,33,37,7,81,9,12,34,26,0,79,9,8,27,29,6,42,X,4,11,21,4
"정선군","귀농인수 (명)",74,6,8,36,22,X,82,8,8,39,23,4,71,5,9,23,31,X,65,4,10,27,24,0,64,4,7,23,25,5,37,X,4,10,18,4
"정선군","동반가구원수 (명)",22,9,0,6,6,X,21,6,X,5,5,4,37,13,4,10,6,4,16,5,X,7,X,0,15,5,X,4,4,X,5,X,0,X,X,0
"철원군","귀농가구원수 (명)",56,15,11,13,16,X,42,13,7,12,8,X,40,7,4,11,17,X,48,9,7,12,14,6,46,13,7,9,16,X,33,7,4,7,10,5
"철원군","귀농인수 (명)",42,8,9,10,14,X,32,8,5,11,6,X,29,X,4,9,14,X,33,4,6,11,8,4,38,6,7,8,16,X,22,X,4,5,7,X
"철원군","동반가구원수 (명)",14,7,X,X,X,0,10,5,X,X,X,0,11,6,0,X,X,0,15,5,X,X,6,X,8,7,0,X,0,0,11,4,0,X,X,X
"화천군","귀농가구원수 (명)",69,14,15,15,20,5,72,16,8,18,25,5,70,11,9,22,22,6,57,7,7,15,22,6,67,11,6,15,30,5,23,X,X,6,11,X
"화천군","귀농인수 (명)",53,4,12,14,18,5,48,X,7,12,22,4,53,X,7,18,21,5,41,4,5,13,15,4,48,X,6,13,25,X,22,X,X,6,11,X
"화천군","동반가구원수 (명)",16,10,X,X,X,0,24,13,X,6,X,X,17,9,X,4,X,X,16,X,X,X,7,X,19,10,0,X,5,X,X,0,0,0,0,X
"양구군","귀농가구원수 (명)",29,X,5,16,5,0,61,10,5,28,16,X,47,15,10,11,9,X,43,9,X,12,17,X,30,5,X,12,10,X,31,X,X,13,12,X
"양구군","귀농인수 (명)",24,0,5,14,5,0,50,6,4,23,15,X,34,7,6,11,8,X,32,X,X,9,16,X,21,X,X,9,9,X,26,X,X,10,10,X
"양구군","동반가구원수 (명)",5,X,0,X,0,0,11,4,X,5,X,0,13,8,4,0,X,0,11,6,X,X,X,0,9,4,X,X,X,0,5,0,0,X,X,0
"인제군","귀농가구원수 (명)",65,14,5,25,16,5,63,8,6,31,14,4,52,11,6,16,18,X,80,16,11,24,27,X,55,11,7,9,27,X,44,6,X,10,22,X
"인제군","귀농인수 (명)",48,7,5,21,12,X,52,4,6,25,14,X,38,4,5,13,15,X,57,4,10,18,23,X,44,X,6,8,26,X,36,X,X,8,20,X
"인제군","동반가구원수 (명)",17,7,0,4,4,X,11,4,0,6,0,X,14,7,X,X,X,0,23,12,X,6,4,0,11,8,X,X,X,0,8,X,0,X,X,X
"고성군","귀농가구원수 (명)",63,15,14,17,13,4,48,10,10,16,8,4,46,10,12,9,12,X,61,12,9,22,17,X,46,14,8,16,8,0,19,X,4,6,4,X
"고성군","귀농인수 (명)",38,X,10,14,9,X,36,4,8,16,6,X,41,8,12,9,10,X,48,6,8,20,13,X,37,7,7,15,8,0,17,X,X,6,4,X
"고성군","동반가구원수 (명)",25,13,4,X,4,X,12,6,X,0,X,X,5,X,0,0,X,X,13,6,X,X,4,0,9,7,X,X,0,0,X,X,X,0,0,0
"양양군","귀농가구원수 (명)",67,17,7,22,16,5,48,8,6,18,15,X,65,13,9,23,17,X,52,15,X,17,14,X,62,9,9,18,22,4,59,10,X,21,20,7
"양양군","귀농인수 (명)",45,9,5,16,13,X,34,X,5,14,11,X,41,X,6,17,15,X,37,7,X,15,10,X,50,4,8,14,20,4,41,X,X,16,18,X
"양양군","동반가구원수 (명)",22,8,X,6,X,X,14,5,X,4,4,0,24,12,X,6,X,X,15,8,X,X,4,0,12,5,X,4,X,0,18,7,0,5,X,4
"충청북도","귀농가구원수 (명)",1341,241,159,506,358,77,1210,247,137,446,321,59,1320,245,144,415,418,98,1457,220,139,495,500,103,1249,190,133,365,469,92,951,138,95,295,347,76
"충청북도","귀농인수 (명)",925,64,129,392,285,55,847,81,109,352,268,37,938,97,108,332,341,60,1086,87,109,403,411,76,962,78,111,310,399,64,730,57,78,243,292,60
"충청북도","동반가구원수 (명)",416,177,30,114,73,22,363,166,28,94,53,22,382,148,36,83,77,38,371,133,30,92,89,27,287,112,22,55,70,28,221,81,17,52,55,16
"청주시","귀농가구원수 (명)",164,38,19,64,32,11,160,58,18,39,39,6,149,35,21,45,36,12,150,36,19,48,36,11,139,33,28,34,38,6,156,46,17,51,32,10
"청주시","귀농인수 (명)",108,10,16,50,26,6,100,19,15,31,31,4,92,13,14,33,27,5,103,13,13,38,31,8,96,11,20,30,32,X,96,12,12,42,23,7
"청주시","동반가구원수 (명)",56,28,X,14,6,5,60,39,X,8,8,X,57,22,7,12,9,7,47,23,6,10,5,X,43,22,8,4,6,X,60,34,5,9,9,X
"충주시","귀농가구원수 (명)",195,61,25,67,31,11,139,28,25,47,32,7,139,42,10,45,35,7,122,19,11,40,40,12,131,15,13,35,57,11,83,17,9,19,32,6
"충주시","귀농인수 (명)",114,10,17,54,27,6,98,6,20,39,29,4,101,22,8,37,30,4,90,11,8,31,32,8,97,6,10,28,46,7,63,8,5,17,27,6
"충주시","동반가구원수 (명)",81,51,8,13,4,5,41,22,5,8,X,X,38,20,X,8,5,X,32,8,X,9,8,4,34,9,X,7,11,4,20,9,4,X,5,0
"제천시","귀농가구원수 (명)",87,11,11,32,26,7,90,10,8,45,24,X,70,10,8,17,29,6,143,19,5,53,59,7,76,5,5,22,42,X,84,9,6,25,39,5
"제천시","귀농인수 (명)",63,X,9,26,19,6,69,X,7,37,21,X,51,X,6,15,24,4,98,5,5,42,42,4,61,X,4,20,33,X,59,X,5,19,31,X
"제천시","동반가구원수 (명)",24,8,X,6,7,X,21,7,X,8,X,X,19,8,X,X,5,X,45,14,0,11,17,X,15,X,X,X,9,X,25,6,X,6,8,4
"보은군","귀농가구원수 (명)",125,20,18,54,33,0,121,25,11,43,35,7,101,20,8,30,37,6,138,11,9,54,52,12,113,19,9,37,39,9,76,5,5,24,33,9
"보은군","귀농인수 (명)",89,7,17,40,25,0,88,8,9,36,30,5,75,7,7,22,33,6,109,5,7,44,45,8,85,9,9,28,33,6,63,X,5,22,26,7
"보은군","동반가구원수 (명)",36,13,X,14,8,0,33,17,X,7,5,X,26,13,X,8,4,0,29,6,X,10,7,4,28,10,0,9,6,X,13,X,0,X,7,X
"옥천군","귀농가구원수 (명)",151,24,18,55,40,14,120,14,15,53,35,X,177,35,18,65,52,7,194,33,24,77,53,7,163,19,21,44,64,15,101,17,13,25,38,8
"옥천군","귀농인수 (명)",108,8,14,44,31,11,84,X,14,34,32,X,124,9,15,55,40,5,144,10,16,66,47,5,127,6,17,39,54,11,81,7,11,22,34,7
"옥천군","동반가구원수 (명)",43,16,4,11,9,X,36,13,X,19,X,0,53,26,X,10,12,X,50,23,8,11,6,X,36,13,4,5,10,4,20,10,X,X,4,X
"영동군","귀농가구원수 (명)",169,28,24,60,47,10,147,24,17,53,47,6,181,27,22,56,57,19,176,25,16,68,60,7,200,34,23,60,68,15,111,9,6,37,48,11
"영동군","귀농인수 (명)",115,8,18,44,36,9,99,4,14,39,39,X,136,11,20,43,50,12,143,17,15,55,50,6,152,12,21,50,59,10,92,6,5,31,42,8
"영동군","동반가구원수 (명)",54,20,6,16,11,X,48,20,X,14,8,X,45,16,X,13,7,7,33,8,X,13,10,X,48,22,X,10,9,5,19,X,X,6,6,X
"증평군","귀농가구원수 (명)",29,7,4,8,9,X,22,5,X,7,4,X,21,X,6,6,5,X,26,X,X,8,12,X,19,9,X,4,4,0,13,X,X,5,5,0
"증평군","귀농인수 (명)",18,X,X,5,7,X,14,X,X,6,X,X,15,X,4,5,4,X,20,X,X,5,10,X,13,X,X,4,4,0,9,X,X,X,5,0
"증평군","동반가구원수 (명)",11,5,X,X,X,0,8,X,X,X,X,X,6,X,X,X,X,X,6,0,0,X,X,X,6,6,0,0,0,0,4,X,0,X,0,0
"진천군","귀농가구원수 (명)",48,8,4,17,18,X,58,15,6,21,14,X,80,13,10,28,28,X,82,22,11,19,21,9,56,8,6,15,24,X,46,8,9,11,13,5
"진천군","귀농인수 (명)",38,4,4,14,16,0,46,9,4,20,12,X,58,5,7,24,21,X,56,5,9,17,17,8,48,5,5,15,20,X,40,6,8,11,11,4
"진천군","동반가구원수 (명)",10,4,0,X,X,X,12,6,X,X,X,X,22,8,X,4,7,0,26,17,X,X,4,X,8,X,X,0,4,0,6,X,X,0,X,X
"괴산군","귀농가구원수 (명)",149,19,10,66,46,8,201,46,28,72,45,10,192,37,23,54,60,18,204,30,17,57,84,16,170,24,11,52,66,17,117,12,12,33,54,6
"괴산군","귀농인수 (명)",107,5,9,51,37,5,131,17,18,56,34,6,130,17,15,39,52,7,160,12,16,50,70,12,140,15,11,43,59,12,94,8,9,23,48,6
"괴산군","동반가구원수 (명)",42,14,X,15,9,X,70,29,10,16,11,4,62,20,8,15,8,11,44,18,X,7,14,4,30,9,0,9,7,5,23,4,X,10,6,0
"음성군","귀농가구원수 (명)",124,16,21,35,42,10,79,15,4,32,21,7,129,19,11,34,51,14,139,19,16,41,50,13,112,15,13,37,36,11,72,5,10,27,21,9
"음성군","귀농인수 (명)",96,6,19,28,35,8,61,9,4,27,16,5,95,8,7,32,36,12,103,7,13,31,41,11,91,7,10,34,31,9,59,X,10,23,16,8
"음성군","동반가구원수 (명)",28,10,X,7,7,X,18,6,0,5,5,X,34,11,4,X,15,X,36,12,X,10,9,X,21,8,X,X,5,X,13,X,0,4,5,X
"단양군","귀농가구원수 (명)",100,9,5,48,34,4,73,7,X,34,25,5,81,5,7,35,28,6,83,4,10,30,33,6,70,9,X,25,31,X,92,8,7,38,32,7
"단양군","귀농인수 (명)",69,X,X,36,26,X,57,X,X,27,22,X,61,X,5,27,24,X,60,0,6,24,26,4,52,X,X,19,28,X,74,X,7,31,29,6
"단양군","동반가구원수 (명)",31,8,X,12,8,X,16,4,0,7,X,X,20,X,X,8,4,X,23,4,4,6,7,X,18,8,0,6,X,X,18,7,0,7,X,X
"충청남도","귀농가구원수 (명)",1921,423,254,610,502,132,1739,321,215,589,488,126,2052,397,236,633,648,138,2510,435,259,706,886,224,2139,329,243,574,772,221,1754,328,161,494,618,153
"충청남도","귀농인수 (명)",1328,156,198,478,403,93,1268,128,177,468,401,94,1502,162,195,504,527,114,1821,178,205,586,695,157,1595,125,195,477,627,171,1333,136,132,413,531,121
"충청남도","동반가구원수 (명)",593,267,56,132,99,39,471,193,38,121,87,32,550,235,41,129,121,24,689,257,54,120,191,67,544,204,48,97,145,50,421,192,29,81,87,32
"천안시","귀농가구원수 (명)",83,28,10,27,13,5,84,16,7,28,28,5,106,26,11,30,31,8,135,31,15,43,34,12,120,23,18,32,37,10,80,20,11,28,16,5
"천안시","귀농인수 (명)",61,14,9,24,11,X,61,7,5,21,24,4,72,11,9,25,22,5,98,13,13,38,26,8,92,13,16,25,30,8,58,10,10,21,14,X
"천안시","동반가구원수 (명)",22,14,X,X,X,X,23,9,X,7,4,X,34,15,X,5,9,X,37,18,X,5,8,4,28,10,X,7,7,X,22,10,X,7,X,X
"공주시","귀농가구원수 (명)",144,29,21,47,37,10,135,28,15,45,40,7,120,25,15,36,37,7,183,38,15,63,56,11,136,16,9,40,59,12,115,22,6,33,46,8
"공주시","귀농인수 (명)",104,10,17,40,31,6,96,12,10,40,31,X,91,12,13,29,30,7,143,20,12,59,44,8,116,12,8,36,50,10,87,11,5,26,39,6
"공주시","동반가구원수 (명)",40,19,4,7,6,4,39,16,5,5,9,4,29,13,X,7,7,0,40,18,X,4,12,X,20,4,X,4,9,X,28,11,X,7,7,X
"보령시","귀농가구원수 (명)",139,35,17,40,36,11,115,27,14,38,29,7,131,21,16,38,46,10,165,26,12,41,74,12,152,15,13,51,54,19,91,8,5,26,43,9
"보령시","귀농인수 (명)",94,12,14,31,27,10,80,8,12,32,23,5,96,7,14,31,36,8,120,9,11,32,60,8,111,X,11,41,44,13,79,4,5,23,39,8
"보령시","동반가구원수 (명)",45,23,X,9,9,X,35,19,X,6,6,X,35,14,X,7,10,X,45,17,X,9,14,4,41,13,X,10,10,6,12,4,0,X,4,X
"아산시","귀농가구원수 (명)",121,41,17,31,26,6,130,34,12,45,29,10,142,44,18,45,31,4,195,64,33,54,34,10,210,58,30,54,50,18,162,55,18,46,35,8
"아산시","귀농인수 (명)",81,13,16,24,22,6,87,9,8,38,23,9,86,12,15,32,24,X,116,21,25,40,22,8,124,12,20,38,40,14,101,14,13,35,32,7
"아산시","동반가구원수 (명)",40,28,X,7,4,0,43,25,4,7,6,X,56,32,X,13,7,X,79,43,8,14,12,X,86,46,10,16,10,4,61,41,5,11,X,X
"서산시","귀농가구원수 (명)",151,39,14,56,32,10,129,27,16,37,40,9,159,37,12,60,44,6,202,31,16,53,81,21,185,31,19,45,72,18,162,26,15,45,57,19
"서산시","귀농인수 (명)",96,14,9,43,22,8,96,14,13,29,33,7,115,14,10,50,36,5,144,11,10,44,64,15,127,7,14,38,56,12,121,9,12,40,45,15
"서산시","동반가구원수 (명)",55,25,5,13,10,X,33,13,X,8,7,X,44,23,X,10,8,X,58,20,6,9,17,6,58,24,5,7,16,6,41,17,X,5,12,4
"논산시","귀농가구원수 (명)",168,42,33,48,38,7,173,42,36,41,41,13,206,58,25,61,46,16,199,51,29,50,56,13,146,26,29,37,41,13,137,39,19,23,45,11
"논산시","귀농인수 (명)",112,11,28,34,33,6,123,19,32,31,33,8,144,30,19,46,36,13,147,26,22,44,43,12,119,16,24,33,36,10,103,22,16,21,37,7
"논산시","동반가구원수 (명)",56,31,5,14,5,X,50,23,4,10,8,5,62,28,6,15,10,X,52,25,7,6,13,X,27,10,5,4,5,X,34,17,X,X,8,4
"계룡시","귀농가구원수 (명)",17,6,X,5,X,0,12,4,X,X,0,X,24,13,5,4,X,X,33,11,10,6,5,X,21,5,0,8,8,0,38,18,5,9,4,X
"계룡시","귀농인수 (명)",8,0,X,4,X,0,6,X,X,X,0,X,12,5,X,4,X,0,20,5,7,4,X,X,12,0,0,7,5,0,14,X,X,6,X,0
"계룡시","동반가구원수 (명)",9,6,X,X,X,0,6,X,X,X,0,X,12,8,X,0,0,X,13,6,X,X,X,0,9,5,0,X,X,0,24,15,X,X,X,X
"당진시","귀농가구원수 (명)",120,18,12,41,38,11,108,22,18,35,25,8,161,29,9,56,53,14,214,29,17,60,83,25,176,27,27,46,58,18,137,18,11,45,50,13
"당진시","귀농인수 (명)",91,10,8,35,31,7,77,5,15,27,23,7,106,8,7,41,40,10,142,10,11,46,61,14,121,5,19,42,45,10,111,10,10,40,41,10
"당진시","동반가구원수 (명)",29,8,4,6,7,4,31,17,X,8,X,X,55,21,X,15,13,4,72,19,6,14,22,11,55,22,8,4,13,8,26,8,X,5,9,X
"금산군","귀농가구원수 (명)",138,28,24,45,36,5,102,15,8,46,26,7,173,24,24,49,62,14,146,23,18,35,54,16,137,14,10,43,61,9,137,25,11,36,54,11
"금산군","귀농인수 (명)",99,9,22,39,26,X,80,5,8,38,24,5,131,11,21,36,51,12,117,7,16,33,49,12,116,8,10,39,52,7,103,12,8,29,46,8
"금산군","동반가구원수 (명)",39,19,X,6,10,X,22,10,0,8,X,X,42,13,X,13,11,X,29,16,X,X,5,4,21,6,0,4,9,X,34,13,X,7,8,X
"부여군","귀농가구원수 (명)",184,48,28,56,40,12,160,27,17,47,57,12,182,35,19,56,61,11,198,27,19,54,84,14,189,32,26,42,69,20,131,20,10,29,56,16
"부여군","귀농인수 (명)",124,19,18,42,34,11,121,13,13,41,44,10,141,19,15,43,54,10,152,15,15,45,68,9,141,14,21,35,57,14,103,9,10,22,48,14
"부여군","동반가구원수 (명)",60,29,10,14,6,X,39,14,4,6,13,X,41,16,4,13,7,X,46,12,4,9,16,5,48,18,5,7,12,6,28,11,0,7,8,X
"서천군","귀농가구원수 (명)",81,18,12,26,19,6,80,12,5,34,27,X,94,12,16,25,33,8,124,20,16,24,50,14,127,15,9,27,49,27,103,14,7,25,44,13
"서천군","귀농인수 (명)",57,7,9,22,15,4,61,6,5,25,23,X,80,8,14,21,29,8,89,9,13,19,38,10,96,7,5,21,38,25,90,7,7,23,42,11
"서천군","동반가구원수 (명)",24,11,X,4,4,X,19,6,0,9,4,0,14,4,X,4,4,0,35,11,X,5,12,4,31,8,4,6,11,X,13,7,0,X,X,X
"청양군","귀농가구원수 (명)",183,23,32,66,49,13,140,15,10,65,35,15,129,17,21,38,46,7,150,18,6,66,52,8,123,13,11,33,54,12,77,11,13,17,29,7
"청양군","귀농인수 (명)",130,8,23,52,41,6,104,9,9,46,31,9,104,5,20,33,39,7,113,9,6,54,41,X,94,X,8,30,41,12,65,7,12,16,24,6
"청양군","동반가구원수 (명)",53,15,9,14,8,7,36,6,X,19,4,6,25,12,X,5,7,0,37,9,0,12,11,5,29,10,X,X,13,0,12,4,X,X,5,X
"홍성군","귀농가구원수 (명)",139,28,11,35,51,14,133,26,20,30,44,13,111,19,17,31,36,8,200,24,20,47,82,27,123,20,13,38,42,10,109,10,9,39,39,12
"홍성군","귀농인수 (명)",91,13,7,24,38,9,90,7,15,23,34,11,80,5,13,25,31,6,139,9,18,36,59,17,88,8,12,27,33,8,92,6,8,33,34,11
"홍성군","동반가구원수 (명)",48,15,4,11,13,5,43,19,5,7,10,X,31,14,4,6,5,X,61,15,X,11,23,10,35,12,X,11,9,X,17,4,X,6,5,X
"예산군","귀농가구원수 (명)",108,17,11,35,35,10,106,8,16,47,27,8,121,12,11,33,53,12,150,18,12,43,57,20,127,18,12,34,47,16,148,26,12,43,56,11
"예산군","귀농인수 (명)",82,8,9,28,29,8,87,6,16,33,26,6,104,9,10,28,46,11,115,6,10,37,46,16,103,11,11,29,38,14,107,4,7,36,52,8
"예산군","동반가구원수 (명)",26,9,X,7,6,X,19,X,0,14,X,X,17,X,X,5,7,X,35,12,X,6,11,4,24,7,X,5,9,X,41,22,5,7,4,X
"태안군","귀농가구원수 (명)",145,23,9,52,49,12,132,18,19,48,40,7,193,25,17,71,68,12,216,24,21,67,84,20,167,16,17,44,71,19,127,16,9,50,44,8
"태안군","귀농인수 (명)",98,8,7,36,41,6,99,7,15,42,29,6,140,6,13,60,52,9,166,8,16,55,71,16,135,7,16,36,62,14,99,8,7,42,35,7
"태안군","동반가구원수 (명)",47,15,X,16,8,6,33,11,4,6,11,X,53,19,4,11,16,X,50,16,5,12,13,4,32,9,X,8,9,5,28,8,X,8,9,X
"전라북도","귀농가구원수 (명)",2080,596,350,597,422,115,1853,419,317,558,443,116,1994,440,292,620,528,114,2013,411,267,595,578,162,1609,310,206,453,514,126,1381,232,178,404,447,120
"전라북도","귀농인수 (명)",1335,178,263,472,338,84,1327,160,260,439,375,93,1511,201,240,523,453,94,1524,186,219,503,490,126,1237,146,180,376,442,93,1099,111,154,345,393,96
"전라북도","동반가구원수 (명)",745,418,87,125,84,31,526,259,57,119,68,23,483,239,52,97,75,20,489,225,48,92,88,36,372,164,26,77,72,33,282,121,24,59,54,24
"군산시","귀농가구원수 (명)",64,18,11,19,12,4,68,14,12,25,15,X,67,16,13,13,24,X,91,24,17,16,26,8,85,24,13,21,26,X,57,13,9,16,15,4
"군산시","귀농인수 (명)",44,6,8,16,11,X,53,6,11,19,15,X,47,6,11,10,20,0,65,9,14,14,21,7,59,12,11,18,18,0,36,X,8,13,11,X
"군산시","동반가구원수 (명)",20,12,X,X,X,X,15,8,X,6,0,0,20,10,X,X,4,X,26,15,X,X,5,X,26,12,X,X,8,X,21,11,X,X,4,X
"익산시","귀농가구원수 (명)",146,45,30,35,24,12,159,42,30,42,38,7,183,43,33,56,40,11,159,35,16,58,41,9,129,28,17,27,46,11,97,16,11,31,28,11
"익산시","귀농인수 (명)",93,13,23,26,21,10,105,12,24,33,29,7,134,16,24,50,36,8,128,20,14,48,39,7,94,12,14,22,40,6,78,9,11,26,26,6
"익산시","동반가구원수 (명)",53,32,7,9,X,X,54,30,6,9,9,0,49,27,9,6,4,X,31,15,X,10,X,X,35,16,X,5,6,5,19,7,0,5,X,5
"정읍시","귀농가구원수 (명)",202,63,38,54,35,12,196,40,32,64,45,15,199,43,29,66,46,15,185,44,26,49,52,14,146,29,17,36,50,14,116,19,10,32,40,15
"정읍시","귀농인수 (명)",133,21,28,46,31,7,146,19,27,52,36,12,155,20,26,58,39,12,147,29,21,40,46,11,112,12,14,33,41,12,101,12,10,29,36,14
"정읍시","동반가구원수 (명)",69,42,10,8,4,5,50,21,5,12,9,X,44,23,X,8,7,X,38,15,5,9,6,X,34,17,X,X,9,X,15,7,0,X,4,X
